benchmark,sequence,condition,degradation,severity,seed,baseline_auc,hpc_rgssb_auc,auc_change,baseline_mean_iou,hpc_rgssb_mean_iou,mean_iou_change,baseline_precision_20,hpc_precision_20,precision_20_change,baseline_center_error,hpc_center_error,center_error_change,best_model,outcome,note
NFS,nfs_car,low_resolution_medium,low_resolution,medium,42,0.410126,0.411371,+0.001245,0.407264,0.408484,+0.001220,0.483168,0.483663,+0.000495,64.119475,64.473975,+0.354500,hpc_rgssb,neutral,near neutral by AUC
NFS,nfs_car,gaussian_noise_medium,gaussian_noise,medium,42,0.791089,0.807303,+0.016214,0.793995,0.810352,+0.016357,0.959901,0.961881,+0.001980,5.789128,6.109750,+0.320622,hpc_rgssb,neutral,near neutral by AUC
NFS,nfs_dog,clean,clean,none,0,0.687984,0.672047,-0.015937,0.689819,0.673573,-0.016246,0.994175,0.996117,+0.001942,3.331066,3.329198,-0.001868,baseline,neutral,near neutral by AUC
NFS,nfs_dog,motion_blur_medium,motion_blur,medium,42,0.653062,0.651322,-0.001740,0.654578,0.652801,-0.001777,0.970874,0.982524,+0.011650,6.196884,5.450175,-0.746709,baseline,neutral,near neutral by AUC
NFS,nfs_dog,low_resolution_medium,low_resolution,medium,42,0.710189,0.690128,-0.020061,0.712331,0.691849,-0.020482,0.995146,0.994175,-0.000971,3.594547,3.465863,-0.128684,baseline,drop,OSTrack baseline improves AUC
NFS,nfs_dog,gaussian_noise_medium,gaussian_noise,medium,42,0.665914,0.660098,-0.005816,0.667672,0.661620,-0.006052,0.988350,0.998058,+0.009708,3.715294,3.343938,-0.371356,baseline,neutral,near neutral by AUC
NFS,nfs_running,clean,clean,none,0,0.620779,0.590008,-0.030771,0.621697,0.590563,-0.031134,0.967504,0.966027,-0.001477,7.212445,7.221322,+0.008877,baseline,drop,OSTrack baseline improves AUC
NFS,nfs_running,motion_blur_medium,motion_blur,medium,42,0.636471,0.572707,-0.063764,0.637740,0.573131,-0.064609,0.967504,0.967504,+0.000000,8.304360,8.218209,-0.086151,baseline,drop,OSTrack baseline improves AUC
NFS,nfs_running,low_resolution_medium,low_resolution,medium,42,0.653992,0.616889,-0.037103,0.655371,0.617774,-0.037597,0.966027,0.967504,+0.001477,7.170286,7.264540,+0.094254,baseline,drop,OSTrack baseline improves AUC
NFS,nfs_running,gaussian_noise_medium,gaussian_noise,medium,42,0.604077,0.581204,-0.022873,0.604929,0.581741,-0.023188,0.967504,0.967504,+0.000000,7.375156,7.449711,+0.074555,baseline,drop,OSTrack baseline improves AUC
NFS,nfs_bottle,clean,clean,none,0,0.849894,0.836104,-0.013790,0.853361,0.839467,-0.013894,0.760342,0.686638,-0.073704,22.105979,20.865688,-1.240291,baseline,neutral,near neutral by AUC
