sequence,condition,degradation,severity,seed,baseline_auc,hpc_rgssb_auc,auc_change,baseline_precision_20,hpc_rgssb_precision_20,precision_20_change,baseline_mean_center_error,hpc_rgssb_mean_center_error,center_error_change,best_model,note
Dog1,motion_blur_medium,motion_blur,medium,42,0.834389,0.857653,+0.023264,1.000000,1.000000,+0.000000,2.350212,2.076440,-0.273772,hpc_rgssb,HPC RG-SSB improves AUC over baseline
Dog1,low_resolution_medium,low_resolution,medium,42,0.874939,0.871067,-0.003872,1.000000,1.000000,+0.000000,1.921853,1.949097,+0.027244,baseline,OSTrack baseline has higher AUC
Dog1,gaussian_noise_medium,gaussian_noise,medium,42,0.860961,0.856414,-0.004547,1.000000,1.000000,+0.000000,2.756150,2.647410,-0.108740,baseline,OSTrack baseline has higher AUC
Deer,clean,clean,none,0,0.271231,0.424348,+0.153117,0.366197,0.661972,+0.295775,73.172089,41.307079,-31.865010,hpc_rgssb,HPC RG-SSB improves AUC over baseline
Deer,motion_blur_medium,motion_blur,medium,42,0.208339,0.435504,+0.227165,0.281690,0.647887,+0.366197,103.399780,41.490910,-61.908870,hpc_rgssb,HPC RG-SSB improves AUC over baseline
Deer,low_resolution_medium,low_resolution,medium,42,0.267187,0.438433,+0.171246,0.338028,0.704225,+0.366197,73.623421,40.147202,-33.476219,hpc_rgssb,HPC RG-SSB improves AUC over baseline
Deer,gaussian_noise_medium,gaussian_noise,medium,42,0.513457,0.522242,+0.008785,0.746479,0.746479,+0.000000,37.269794,34.893517,-2.376277,hpc_rgssb,HPC RG-SSB improves AUC over baseline
Football,clean,clean,none,0,0.138997,0.138395,-0.000602,0.165746,0.165746,+0.000000,219.098862,225.620789,+6.521927,baseline,OSTrack baseline has higher AUC
Football,motion_blur_medium,motion_blur,medium,42,0.324955,0.491685,+0.166730,0.497238,0.740331,+0.243093,58.251381,20.236773,-38.014608,hpc_rgssb,HPC RG-SSB improves AUC over baseline
Football,low_resolution_medium,low_resolution,medium,42,0.144412,0.143728,-0.000684,0.171271,0.165746,-0.005525,222.232132,229.409225,+7.177093,baseline,OSTrack baseline has higher AUC
Football,gaussian_noise_medium,gaussian_noise,medium,42,0.265850,0.271730,+0.005880,0.356354,0.364641,+0.008287,117.728493,117.510918,-0.217575,hpc_rgssb,HPC RG-SSB improves AUC over baseline
BlurBody,clean,clean,none,0,0.835240,0.802632,-0.032608,0.976048,0.973054,-0.002994,6.491373,6.529775,+0.038402,baseline,OSTrack baseline has higher AUC
BlurBody,motion_blur_medium,motion_blur,medium,42,0.846446,0.817395,-0.029051,0.985030,0.982036,-0.002994,5.823728,6.200110,+0.376382,baseline,OSTrack baseline has higher AUC
BlurBody,low_resolution_medium,low_resolution,medium,42,0.840932,0.813097,-0.027835,0.982036,0.982036,+0.000000,6.127126,6.212456,+0.085330,baseline,OSTrack baseline has higher AUC
BlurBody,gaussian_noise_medium,gaussian_noise,medium,42,0.808413,0.786980,-0.021433,0.982036,0.979042,-0.002994,6.575316,6.414169,-0.161147,baseline,OSTrack baseline has higher AUC
BlurCar2,clean,clean,none,0,0.847863,0.859338,+0.011475,1.000000,1.000000,+0.000000,3.921361,3.819147,-0.102214,hpc_rgssb,HPC RG-SSB improves AUC over baseline
BlurCar2,motion_blur_medium,motion_blur,medium,42,0.844309,0.850842,+0.006533,1.000000,1.000000,+0.000000,4.385002,4.483412,+0.098410,hpc_rgssb,HPC RG-SSB improves AUC over baseline
BlurCar2,low_resolution_medium,low_resolution,medium,42,0.852348,0.860743,+0.008395,1.000000,1.000000,+0.000000,3.988775,3.933445,-0.055330,hpc_rgssb,HPC RG-SSB improves AUC over baseline
BlurCar2,gaussian_noise_medium,gaussian_noise,medium,42,0.856021,0.862909,+0.006888,1.000000,1.000000,+0.000000,3.826772,3.690912,-0.135860,hpc_rgssb,HPC RG-SSB improves AUC over baseline
BlurFace,clean,clean,none,0,0.820959,0.825317,+0.004358,1.000000,1.000000,+0.000000,6.544191,6.723062,+0.178871,hpc_rgssb,HPC RG-SSB improves AUC over baseline
BlurFace,motion_blur_medium,motion_blur,medium,42,0.836985,0.835037,-0.001948,1.000000,1.000000,+0.000000,6.679541,6.927478,+0.247937,baseline,OSTrack baseline has higher AUC
BlurFace,low_resolution_medium,low_resolution,medium,42,0.824413,0.826381,+0.001968,1.000000,1.000000,+0.000000,6.544706,6.740710,+0.196004,hpc_rgssb,HPC RG-SSB improves AUC over baseline
BlurFace,gaussian_noise_medium,gaussian_noise,medium,42,0.817223,0.817645,+0.000422,1.000000,1.000000,+0.000000,6.524117,6.680791,+0.156674,hpc_rgssb,HPC RG-SSB improves AUC over baseline
Box,clean,clean,none,0,0.844373,0.841917,-0.002456,0.955211,0.954350,-0.000861,12.109486,12.087549,-0.021937,baseline,OSTrack baseline has higher AUC
Box,motion_blur_medium,motion_blur,medium,42,0.836629,0.818405,-0.018224,0.962102,0.950904,-0.011198,7.382629,13.738525,+6.355896,baseline,OSTrack baseline has higher AUC
Box,low_resolution_medium,low_resolution,medium,42,0.857352,0.840313,-0.017039,0.966408,0.957795,-0.008613,7.299999,12.045731,+4.745732,baseline,OSTrack baseline has higher AUC
Box,gaussian_noise_medium,gaussian_noise,medium,42,0.854649,0.853242,-0.001407,0.973299,0.979328,+0.006029,6.964612,6.891922,-0.072690,baseline,OSTrack baseline has higher AUC
