benchmark,sequence,condition,baseline_auc,rgssb_auc,auc_change,baseline_precision_20,rgssb_precision_20,precision_change,baseline_mean_center_error,rgssb_mean_center_error,center_error_change,best_method,notes
OTB,BlurBody,gaussian_noise_medium,0.808413,0.786980,-0.021433,0.982036,0.979042,-0.002994,6.575316,6.414169,-0.161147,OSTrack,OSTrack baseline higher by AUC
OTB,BlurCar2,clean,0.847863,0.859338,+0.011475,1.000000,1.000000,+0.000000,3.921361,3.819147,-0.102214,RG-SSB,RG-SSB near neutral
OTB,BlurCar2,motion_blur_medium,0.844309,0.850842,+0.006533,1.000000,1.000000,+0.000000,4.385002,4.483412,+0.098410,RG-SSB,RG-SSB near neutral
OTB,BlurCar2,low_resolution_medium,0.852348,0.860743,+0.008395,1.000000,1.000000,+0.000000,3.988775,3.933445,-0.055330,RG-SSB,RG-SSB near neutral
OTB,BlurCar2,gaussian_noise_medium,0.856021,0.862909,+0.006888,1.000000,1.000000,+0.000000,3.826772,3.690912,-0.135860,RG-SSB,RG-SSB near neutral
OTB,BlurFace,clean,0.820959,0.825317,+0.004358,1.000000,1.000000,+0.000000,6.544191,6.723062,+0.178871,RG-SSB,RG-SSB near neutral
OTB,BlurFace,motion_blur_medium,0.836985,0.835037,-0.001948,1.000000,1.000000,+0.000000,6.679541,6.927478,+0.247937,OSTrack,RG-SSB near neutral
OTB,BlurFace,low_resolution_medium,0.824413,0.826381,+0.001968,1.000000,1.000000,+0.000000,6.544706,6.740710,+0.196004,RG-SSB,RG-SSB near neutral
OTB,BlurFace,gaussian_noise_medium,0.817223,0.817645,+0.000422,1.000000,1.000000,+0.000000,6.524117,6.680791,+0.156674,RG-SSB,RG-SSB near neutral
OTB,Box,clean,0.844373,0.841917,-0.002456,0.955211,0.954350,-0.000861,12.109486,12.087549,-0.021937,OSTrack,RG-SSB near neutral
OTB,Box,motion_blur_medium,0.836629,0.818405,-0.018224,0.962102,0.950904,-0.011198,7.382629,13.738525,+6.355896,OSTrack,RG-SSB near neutral
OTB,Box,low_resolution_medium,0.857352,0.840313,-0.017039,0.966408,0.957795,-0.008613,7.299999,12.045731,+4.745732,OSTrack,RG-SSB near neutral
OTB,Box,gaussian_noise_medium,0.854649,0.853242,-0.001407,0.973299,0.979328,+0.006029,6.964612,6.891922,-0.072690,OSTrack,RG-SSB near neutral
UAV123,uav_car10,clean,0.863690,0.855939,-0.007751,1.000000,1.000000,+0.000000,1.767431,1.873509,+0.106078,OSTrack,RG-SSB near neutral
UAV123,uav_car10,motion_blur_medium,0.829978,0.839935,+0.009957,1.000000,1.000000,+0.000000,1.874678,2.015716,+0.141038,RG-SSB,RG-SSB near neutral
