tracker,config,sequence,degradation,severity,seed,frames,mean_iou,success_auc,precision_20,mean_center_error,result_path,time_path,eval_otb_root,notes
ostrack,vitb_256_mae_ce_32x4_ep300,nfs_walking,low_resolution,medium,42,555,0.220298,0.222977,0.023423,223.581696,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_walking/low_resolution_medium_seed42/nfs_walking.txt,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_walking/low_resolution_medium_seed42/nfs_walking_time.txt,/nfs/speed-scratch/a_idrais/Paper_2_Mamba_Tracking/datasets/tiny_sot/degraded/nfs_nfs_walking_low_resolution_medium,single-sequence NFS automation
ostrack,vitb_256_mae_ce_32x4_ep300,nfs_walking,gaussian_noise,medium,42,555,0.585313,0.584444,0.086486,91.790886,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_walking/gaussian_noise_medium_seed42/nfs_walking.txt,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_walking/gaussian_noise_medium_seed42/nfs_walking_time.txt,/nfs/speed-scratch/a_idrais/Paper_2_Mamba_Tracking/datasets/tiny_sot/degraded/nfs_nfs_walking_gaussian_noise_medium,single-sequence NFS automation
ostrack,vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002,nfs_Gymnastics,clean,none,0,368,0.333370,0.334912,0.002717,232.755920,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002/nfs/nfs_Gymnastics/clean_none_seed0/nfs_Gymnastics.txt,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002/nfs/nfs_Gymnastics/clean_none_seed0/nfs_Gymnastics_time.txt,/nfs/speed-scratch/a_idrais/nfs,single-sequence NFS automation
ostrack,vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002,nfs_Gymnastics,motion_blur,medium,42,368,0.331706,0.333244,0.002717,230.888397,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002/nfs/nfs_Gymnastics/motion_blur_medium_seed42/nfs_Gymnastics.txt,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002/nfs/nfs_Gymnastics/motion_blur_medium_seed42/nfs_Gymnastics_time.txt,/nfs/speed-scratch/a_idrais/Paper_2_Mamba_Tracking/datasets/tiny_sot/degraded/nfs_nfs_Gymnastics_motion_blur_medium,single-sequence NFS automation
ostrack,vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002,nfs_Gymnastics,low_resolution,medium,42,368,0.333228,0.334992,0.002717,233.018723,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002/nfs/nfs_Gymnastics/low_resolution_medium_seed42/nfs_Gymnastics.txt,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002/nfs/nfs_Gymnastics/low_resolution_medium_seed42/nfs_Gymnastics_time.txt,/nfs/speed-scratch/a_idrais/Paper_2_Mamba_Tracking/datasets/tiny_sot/degraded/nfs_nfs_Gymnastics_low_resolution_medium,single-sequence NFS automation
ostrack,vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002,nfs_Gymnastics,gaussian_noise,medium,42,368,0.318935,0.320652,0.002717,232.899323,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002/nfs/nfs_Gymnastics/gaussian_noise_medium_seed42/nfs_Gymnastics.txt,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002/nfs/nfs_Gymnastics/gaussian_noise_medium_seed42/nfs_Gymnastics_time.txt,/nfs/speed-scratch/a_idrais/Paper_2_Mamba_Tracking/datasets/tiny_sot/degraded/nfs_nfs_Gymnastics_gaussian_noise_medium,single-sequence NFS automation
ostrack,vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002,nfs_basketball_player,clean,none,0,369,0.336199,0.338163,0.013550,204.770325,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002/nfs/nfs_basketball_player/clean_none_seed0/nfs_basketball_player.txt,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002/nfs/nfs_basketball_player/clean_none_seed0/nfs_basketball_player_time.txt,/nfs/speed-scratch/a_idrais/nfs,single-sequence NFS automation
ostrack,vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002,nfs_basketball_player,motion_blur,medium,42,369,0.326499,0.328289,0.008130,212.031540,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002/nfs/nfs_basketball_player/motion_blur_medium_seed42/nfs_basketball_player.txt,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002/nfs/nfs_basketball_player/motion_blur_medium_seed42/nfs_basketball_player_time.txt,/nfs/speed-scratch/a_idrais/Paper_2_Mamba_Tracking/datasets/tiny_sot/degraded/nfs_nfs_basketball_player_motion_blur_medium,single-sequence NFS automation
ostrack,vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002,nfs_basketball_player,low_resolution,medium,42,369,0.325637,0.327645,0.008130,213.936234,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002/nfs/nfs_basketball_player/low_resolution_medium_seed42/nfs_basketball_player.txt,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002/nfs/nfs_basketball_player/low_resolution_medium_seed42/nfs_basketball_player_time.txt,/nfs/speed-scratch/a_idrais/Paper_2_Mamba_Tracking/datasets/tiny_sot/degraded/nfs_nfs_basketball_player_low_resolution_medium,single-sequence NFS automation
ostrack,vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002,nfs_basketball_player,gaussian_noise,medium,42,369,0.387494,0.388553,0.016260,193.388809,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002/nfs/nfs_basketball_player/gaussian_noise_medium_seed42/nfs_basketball_player.txt,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002/nfs/nfs_basketball_player/gaussian_noise_medium_seed42/nfs_basketball_player_time.txt,/nfs/speed-scratch/a_idrais/Paper_2_Mamba_Tracking/datasets/tiny_sot/degraded/nfs_nfs_basketball_player_gaussian_noise_medium,single-sequence NFS automation
